STATE,COUNTY,POP,CASES,PCI,MHI,OVER65
South Carolina,Abbeville County,25417,27,18134,35947,4203
Louisiana,Acadia Parish,61773,57,19910,37587,7886
Virginia,Accomack County,33164,41,22703,39328,6336
Idaho,Ada County,392365,220,27452,55210,41048
Iowa,Adair County,7682,8,25564,47892,1644
Kentucky,Adair County,18656,17,17371,32524,2859
Missouri,Adair County,25607,17,19258,34733,3210
Oklahoma,Adair County,22683,19,15116,32556,2934
Colorado,Adams County,441603,196,24195,56270,36862
Idaho,Adams County,3976,4,21555,35434,828
Illinois,Adams County,67103,67,24217,45073,11747
Indiana,Adams County,34387,24,20160,46695,4750
Iowa,Adams County,4029,4,23707,45871,860
Mississippi,Adams County,32297,29,17544,27381,5116
Nebraska,Adams County,31364,25,25571,49440,4838
North Dakota,Adams County,2343,2,31502,47798,568
Ohio,Adams County,28550,35,18235,35678,4230
Pennsylvania,Adams County,101407,94,27284,59492,15954
Washington,Adams County,18728,6,16940,43926,1915
Wisconsin,Adams County,20875,37,22196,44897,4899
Vermont,Addison County,36821,25,28722,57565,5102
South Carolina,Aiken County,160099,124,24769,44509,24619
Minnesota,Aitkin County,16202,,24939,41617,4413
Florida,Alachua County,247336,154,24857,42149,26627
North Carolina,Alamance County,151131,140,23166,43043,22081
California,Alameda County,1510271,683,35763,72112,167746
Colorado,Alamosa County,15445,5,19487,34520,1752
New York,Albany County,304204,266,32328,59394,42314
Wyoming,Albany County,36299,12,24758,42774,3166
Virginia,Albemarle County,98970,64,37239,67725,14124
Michigan,Alcona County,10942,17,22719,37189,3441
Mississippi,Alcorn County,37057,38,19145,33600,5888
Alaska,Aleutians East Borough,3141,2,26535,61250,155
Alaska,Aleutians West Census Area,5561,2,31790,81853,193
Illinois,Alexander County,8238,10,13619,26972,1397
North Carolina,Alexander County,37198,34,20440,40637,5627
Virginia,Alexandria city,139966,47,54608,85706,1891
Oklahoma,Alfalfa County,5642,6,22488,44811,1142
Michigan,Alger County,9601,9,19717,37586,1975
Iowa,Allamakee County,14330,12,24926,48831,2803
Michigan,Allegan County,111408,76,24140,52061,14438
