rank,athlete,lastname,country,pts_total,hurdles,pts_hurdles,hj,pts_hj,sp,pts_sp,run200,pts_run200,lj,pts_lj,jt,pts_jt,run800,pts_run800
1,Nafissatou Thiam,Thiam,BEL,6810,13.56,1041,1.98,1211,14.91,855,25.1,878,6.58,1033,53.13,921,136.54,871
2,Jessica Ennis-Hill,Ennis-Hill,GBR,6775,12.84,1149,1.89,1093,13.86,785,23.49,1030,6.34,956,46.06,784,129.07,978
3,Brianne Theisen Eaton,Eaton,CAN,6653,13.18,1097,1.86,1054,13.45,757,24.18,963,6.48,1001,47.36,809,129.5,972
4,Laura Ikauniece-Admidina,Ikauniece-Admidina,LAT,6617,13.33,1075,1.77,941,13.52,762,23.76,1004,6.12,887,55.93,975,129.43,973
5,Carolin Schafer,Schafer,GER,6540,13.12,1106,1.83,1016,14.57,832,23.99,982,6.2,912,47.99,821,136.52,871
6,Katarina Johnson-Thompson,Johnson-Thompson,GBR,6523,13.48,1053,1.98,1211,11.68,640,23.26,1053,6.51,1010,36.36,598,130.47,958
7,Yorgelis Rodriguez,Rodriguez,CUB,6481,13.61,1034,1.86,1054,13.69,773,24.26,956,6.25,927,48.89,839,134.65,898
8,Gyorgyi Zsivoczky-Farkas,Zsivoczky-Farkas,HUN,6442,13.79,1008,1.86,1054,14.39,820,25.38,852,6.31,946,48.07,823,131.76,939
9,Jennifer Oeser,Oeser,GER,6401,13.69,1023,1.86,1054,14.28,813,24.99,888,6.19,908,47.22,806,133.82,909
10,Anouk Vetter,Vetter,NED,6394,13.47,1055,1.77,941,14.78,846,23.93,987,6.1,880,48.42,830,137.71,855
11,Antoinette Nana Djimou Ida,Ida,FRA,6383,13.37,1069,1.77,941,14.88,853,25.07,880,6.43,985,48.76,836,140.36,819
12,Barbara Nwaba,Nwaba,USA,6309,13.81,1005,1.83,1016,14.81,848,24.77,908,5.81,792,46.85,799,131.61,941
13,Nadine Broersen,Broersen,NED,6300,13.56,1041,1.77,941,14.04,797,24.94,892,6.15,896,50.8,876,137.55,857
14,Claudia Rath,Rath,GER,6270,13.63,1031,1.74,903,12.83,716,24.48,935,6.55,1023,39.39,656,127.22,1006
15,Evelis Aguilar,Aguilar,COL,6263,13.84,1001,1.74,903,13.6,767,24.12,969,6.23,921,46.9,800,134.32,902
16,Xenia Krizsan,Krizsan,HUN,6257,13.66,1027,1.77,941,13.78,779,25.24,865,6.08,874,49.78,856,133.46,915
17,Kendell Williams,Williams,USA,6221,13.04,1118,1.83,1016,11.21,609,24.09,972,6.31,946,40.93,685,136.24,875
18,Heather Miller-Koch,Miller-Koch,USA,6213,13.56,1041,1.8,978,12.91,721,24.97,890,6.16,899,40.25,672,126.82,1012
19,Nadine Visser,Visser,NED,6190,13.02,1121,1.68,830,12.84,717,24.34,948,6.35,959,42.48,715,134.47,900
20,Akela Jones,Jones,BAR,6173,13,1124,1.89,1093,14.09,800,24.35,947,6.3,943,42,706,161.12,560
21,Ivona Dadic,Dadic,AUT,6155,13.84,1001,1.77,941,13.43,756,24.6,924,6.05,865,46.08,784,135.64,884
22,Eliska Klucinova,Klucinova,CZE,6077,14.07,968,1.8,978,14.41,821,25.37,853,6.08,874,46.73,797,142.81,786
23,Vanessa Chefer,Chefer,BRA,6024,14.24,945,1.68,830,13.06,731,24.11,970,6.1,880,45.05,764,134.2,904
24,Katerina Cachova,Cachova,CZE,5958,13.19,1096,1.77,941,12.38,686,24.32,950,5.91,822,37.77,625,138.95,838
25,Hanna Kasyanova,Kasyanova,UKR,5951,13.66,1027,1.77,941,13.25,744,24.6,924,5.88,813,38.1,631,136.58,871
26,Alysbeth Felix,Felix,PUR,5805,14.07,968,1.68,830,11.36,619,24.74,911,6.22,918,40.17,671,135.32,888
27,Sofia Yfantidou,Yfantidou,GRE,5613,13.99,980,1.65,795,12.97,725,26.32,769,5.51,703,54.57,949,150.08,692
28,Alina Fodorova,Fodorova,UKR,5038,14.1,964,1.8,978,14.38,819,25.4,847,6,850,35.44,580,NA,NA
29,Uhunoma Osazuwa,Osazuwa,NGR,4916,13.75,1014,1.77,941,13.15,737,24.67,917,5.72,765,33.42,542,NA,NA
30,Ekaterina Voronina,Voronina,UZB,1609,15.21,814,1.65,795,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
