Department,Sex,Admitted
Biology,M,Yes
Biology,M,Yes
Biology,M,Yes
Biology,M,Yes
Biology,M,Yes
Biology,M,Yes
Biology,M,Yes
Biology,M,Yes
Biology,M,Yes
Biology,M,Yes
Biology,M,Yes
Biology,M,Yes
Biology,M,Yes
Biology,M,Yes
Biology,M,Yes
Biology,M,Yes
Biology,F,Yes
Biology,F,Yes
Biology,F,Yes
Biology,F,Yes
Biology,F,Yes
Biology,F,Yes
Biology,F,Yes
Biology,F,Yes
Biology,F,Yes
Biology,F,Yes
Biology,F,Yes
Biology,F,Yes
Biology,F,Yes
Biology,F,Yes
Biology,F,Yes
Biology,F,Yes
Biology,F,Yes
Biology,F,Yes
Biology,F,Yes
Biology,F,Yes
Biology,F,Yes
Biology,F,Yes
Biology,F,Yes
Biology,F,Yes
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,M,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
Biology,F,No
