city,country,continent,area_total,population_total,popdens,nbhd_num,GDPpc_mean,income_mean,PM25_mean,PM25.UESI,NO2_mean,NO2.UESI,UHI_mean,UHI.UESI,TREECAP_mean,TREECAP.UESI,PUBTRANS_mean,PUBTRANS.UESI,TRANSCOV_mean,TRANSCOV.UESI
addisababa,Ethiopia,Africa,541410030.4,128864.1,238.0157233,10,453.4769795,NA,24.28116257,18.35,24.41243903,34.55,7.916694985,43.17,12810.4475,100,2249.922434,45.47,0.312490434,62.42
albuquerque,United States of America,North America,734450908.4,625314,851.4033992,142,5217.360835,53702.56338,5.308102643,100,5.042590819,89.36,9.778008239,33.65,27.79854778,37.88,1036.359407,87.94,0.079771716,19.5
alexandria,United States of America,Africa,40063963.76,154710,3861.574978,38,25056.73141,110522.1053,9.795662032,97.76,9.526250124,73.45,0.868561332,73.93,154.4822864,99.85,396.5190801,100,0.553860303,72.83
alger,Algeria,Africa,772064074.9,2988144,3870.331618,57,1063.222807,NA,11.79289621,75.76,11.39315057,67.12,3.295571119,62.31,33.34391509,89.48,827.0654356,90.78,0.469261028,80.78
amsterdam,Netherlands,Europe,173710231.1,844952,4864.146427,99,15927.9788,25601.07527,10.8544434,84.72,11.82510926,65.48,-6.366449302,96.81,373.5490357,97.83,278.2310381,100,0.897325036,95.34
anchorage,United States of America,North America,4465752290,298225,66.78046176,55,1853.130725,86196.61818,3.411778432,100,3.29064882,92.75,-15.21626121,100,7088.976845,100,3120.470347,68.09,0.04651749,11.95
asuncion,Paraguay,South America,128658648.7,487743,3790.984943,68,11551.72196,NA,14.47051604,56.86,13.06708349,61.62,7.999335971,42.67,678.9514313,93.88,597.944587,99.27,0.337491592,61.77
athens,Greece,Europe,38036498.96,664046,17458.12622,7,2125.577759,NA,11.21506549,82.27,11.9609375,65.65,4.471937133,56.89,1.830459477,64.05,144.7207147,100,0.99254645,100
atlanta,United States of America,North America,425116513.9,495377,1165.273481,135,17198.42088,30316.96296,9.930679622,97.7,9.916037272,71.78,4.065022421,59.15,537.8999129,99.34,806.7498892,92.77,0.146871505,22.01
baltimore,United States of America,North America,238080529.7,619796,2603.30402,200,36315.18836,49064.475,10.49583051,89.9,10.03450576,71.52,0.571970563,75.14,128.7928228,91.06,236.7156835,99.5,0.880796286,97.79
bamako,Mali,Africa,246600000,2094000,8491.484185,6,14.24331953,NA,3.570590759,100,3.532702994,92.21,16.01697524,0,31.09441633,98.05,1434.428033,65.39,0.214735865,66.44
