"candidate","fb_followers","articles","incumbent","officeholder"
"Alex Yam",3979,4,TRUE,FALSE
"Alex Yeo",1234,8,FALSE,FALSE
"Alvin Tan",3579,7,FALSE,FALSE
"Amrin Amin",48340,13,TRUE,TRUE
"Amy Khor",31959,3,TRUE,TRUE
"Ang Wei Neng",9227,15,TRUE,FALSE
"Muhamad Faishal Ibrahim",22023,6,TRUE,TRUE
"Baey Yam Keng",39247,4,TRUE,TRUE
"Carrie Tan",2253,7,FALSE,FALSE
"Chan Chun Sing",83875,39,TRUE,TRUE
"Chan Hui Yuh",1562,7,FALSE,FALSE
"Chee Hong Tat",16380,5,TRUE,TRUE
"Cheng Li Hui",9882,2,TRUE,FALSE
"Cheryl Chan",5314,19,TRUE,FALSE
"Chong Kee Hiong",2418,4,TRUE,FALSE
"Christopher de Souza",6833,3,TRUE,FALSE
"Chua Eng Leong",2803,7,TRUE,FALSE
"Darryl David",13970,10,TRUE,FALSE
"Denise Phua Lay Peng",13571,8,TRUE,FALSE
"Derrick Goh",927,6,FALSE,FALSE
"Desmond Choo",6942,3,TRUE,FALSE
"Desmond Lee",26677,35,TRUE,TRUE
"Desmond Tan",6554,9,FALSE,FALSE
"Don Wee",589,5,FALSE,FALSE
"Lim Wee Kiak",5114,4,TRUE,FALSE
"Maliki Osman",16916,15,TRUE,TRUE
"Edward Chia Bing Hui",2067,3,FALSE,FALSE
"Edwin Tong",8061,6,TRUE,TRUE
"Eric Chua",1230,9,FALSE,FALSE
"Fahmi Aliman",1337,8,FALSE,FALSE
"Foo Mee Har",7801,13,TRUE,FALSE
"Gan Kim Yong",8257,31,TRUE,TRUE
"Gan Siow Huang",3951,9,FALSE,FALSE
"Gan Thiam Poh",4873,10,TRUE,FALSE
"Grace Fu",32529,3,TRUE,TRUE
"Hany Soh",2051,4,FALSE,FALSE
"Heng Chee How",3780,25,TRUE,TRUE
"Heng Swee Keat",97314,74,TRUE,TRUE
"Indranee Rajah",24349,14,TRUE,TRUE
"Janil Puthucheary",12716,11,TRUE,TRUE
"Jessica Tan Soon Neo",3425,14,TRUE,FALSE
"Joan Pereira",4642,5,TRUE,FALSE
"Josephine Teo",91021,29,TRUE,TRUE
"K Shanmugam",152421,18,TRUE,TRUE
"Koh Poh Koon",22133,8,TRUE,TRUE
"Kwek Hian Chuan",5531,NA,TRUE,FALSE
"Lam Pin Min",20460,12,TRUE,TRUE
"Lawrence Wong",92258,37,TRUE,TRUE
"Lee Hong Chuang",3787,3,TRUE,FALSE
"Lee Hsien Loong",1625913,114,TRUE,TRUE
"Liang Eng Hwa",1874,21,TRUE,FALSE
"Lim Biow Chuan",4320,1,TRUE,FALSE
"Louis Ng Kok Kwang",27552,5,TRUE,FALSE
"Low Yen Ling",21820,11,TRUE,TRUE
"Mariam Jaafar",2113,7,FALSE,FALSE
"Masagos Zukifli",26517,10,TRUE,TRUE
"Melvin Yong",7992,5,TRUE,FALSE
"Murali Pillai",10988,11,TRUE,FALSE
"Nadia A. Samdin",2595,20,FALSE,FALSE
"Ng Chee Meng",34657,20,TRUE,TRUE
"Ng Eng Hen",91823,8,TRUE,TRUE
"Ng Ling Ling",2977,14,FALSE,FALSE
"Ong Ye Kung",97015,16,TRUE,TRUE
"Patrick Tay",9563,10,TRUE,FALSE
"Poh Li San",2199,5,FALSE,FALSE
"Rachel Ong Sin Yen",5779,14,FALSE,FALSE
"Rahayu Mahzam",8719,5,TRUE,FALSE
"Raymond Lye",801,11,FALSE,FALSE
"S Iswaran",8809,32,TRUE,TRUE
"Saktiandi Supaat",4461,3,TRUE,FALSE
"Seah Kian Peng",10234,5,TRUE,FALSE
"Shamsul Kamar",3445,7,TRUE,FALSE
"Sharael Taha",1521,7,FALSE,FALSE
"Shawn Huang Wei Zhong",2454,6,FALSE,FALSE
"Sim Ann",18175,5,TRUE,TRUE
"Sitoh Yi Pin",2875,59,TRUE,FALSE
"Sun Xueling",27927,11,TRUE,TRUE
"Tan Chuan-Jin",131704,8,TRUE,TRUE
"Tan Kiat How",1080,15,FALSE,FALSE
"Tan See Leng",108,14,FALSE,FALSE
"Tan Wu Meng",5977,4,TRUE,TRUE
"Teo Chee Hean",79063,17,TRUE,TRUE
"Tharman Shanmugaratnam",85915,31,TRUE,TRUE
"Tin Pei Ling",39214,6,TRUE,FALSE
"Victor Lye Thiam Fatt",3291,8,TRUE,FALSE
"Vikram Nair",11361,4,TRUE,FALSE
"Vivian Balakrishnan",145564,33,TRUE,TRUE
"Wan Rizal",2191,12,FALSE,FALSE
"Xie Yao Quan",1210,6,FALSE,FALSE
"Yeo Wan Ling",1376,4,FALSE,FALSE
"Yip Hon Weng",1392,10,FALSE,FALSE
"Zaqy Mohamad",23620,5,TRUE,TRUE
"Zhul Rahim",753,5,FALSE,FALSE
