,DISTNO,STATE,DISTNAME,VOTESBN,VOTESPR,malay,chinese,indian,other,pctBN
1,P001,Perlis,PADANG BESAR,21473,14047,83.48,11.5,1.09,4,60.45326614
2,P002,Perlis,KANGAR,23343,19306,79.26,17.74,1.84,1.15,54.7328186
3,P003,Perlis,ARAU,19376,18005,86.72,8.8,1.58,2.92,51.83382034
4,P004,Kedah,LANGKAWI,21407,9546,90.96,6.7,2.12,0.22,69.15969086
5,P005,Kedah,JERLUN,24161,20891,90.23,8.2,0.06,1.51,53.62913895
6,P006,Kedah,KUBANG PASU,33334,22890,95.72,2.57,1.27,0.43,59.28784943
7,P007,Kedah,PADANG TERAP,20654,16212,92.68,1.4,0.2,5.72,56.02452087
8,P008,Kedah,POKOK SENA,32263,36198,78.59,18.36,2.28,0.76,47.12610245
9,P009,Kedah,ALOR STAR,25491,27364,62.57,32.95,4.16,0.33,48.2281723
10,P010,Kedah,KUALA KEDAH,37923,42870,78.86,19.61,1.26,0.27,46.93847275
11,P011,Kedah,PENDANG,32165,29527,88.53,5.76,0.53,5.18,52.13804245
12,P012,Kedah,JERAI,32429,31233,79.11,13.99,6.31,0.59,50.93933487
13,P013,Kedah,SIK,22084,19277,92.93,1.78,0.06,5.24,53.39329147
14,P014,Kedah,MERBOK,38538,34416,65.66,16.06,17.32,0.96,52.82506943
15,P015,Kedah,SUNGAI PETANI,34646,44194,59.79,29.03,10.78,0.4,43.94469833
16,P016,Kedah,BALING,43504,38319,88.17,5.58,4.97,1.28,53.1684227
17,P017,Kedah,PADANG SERAI,25714,34151,54.72,22.64,22.28,0.36,42.95331192
18,P018,Kedah,KULIM - BANDAR BAHARU,26782,24911,69.47,18.6,11.76,0.18,51.8097229
19,P019,Kelantan,TUMPAT,35527,46151,92.16,3.24,0.45,0.43,43.49641418
20,P020,Kelantan,PENGKALAN CHEPA,19497,34617,97.88,1.72,0.18,0.22,36.02949142
21,P021,Kelantan,KOTA BHARU,24650,40260,80.61,17.87,1.07,0.44,37.97565842
22,P022,Kelantan,PASIR MAS,NA,33431,96.01,3.66,0.13,0.19,NA
23,P023,Kelantan,RANTAU PANJANG,17448,23724,97.91,0.88,0.16,1.04,42.37831497
24,P024,Kelantan,KUBANG KERIAN,18769,35510,97.93,1.7,0.21,0.16,34.57875061
25,P025,Kelantan,BACHOK,35218,35419,98.44,1.14,0.1,0.32,49.85772324
26,P026,Kelantan,KETEREH,26912,25938,96.75,1.91,0.2,1.12,50.92147446
27,P027,Kelantan,TANAH MERAH,26505,22278,94.3,4.24,0.84,0.6,54.33245087
28,P028,Kelantan,PASIR PUTEH,31691,33579,97.8,1.28,0.16,0.74,48.55369949
29,P029,Kelantan,MACHANG,25660,24855,95.49,4.08,0.26,0.15,50.79679489
30,P030,Kelantan,JELI,21223,15954,98.68,0.35,0.24,0.72,57.08637238
31,P031,Kelantan,KUALA KRAI,25876,27919,93.1,5.11,1.58,0.19,48.10112381
32,P032,Kelantan,GUA MUSANG,21367,12954,83.11,8.03,0.71,8.13,62.25634384
33,P033,Terengganu,BESUT,35232,26890,97.78,1.69,0.18,0.34,56.7142067
34,P034,Terengganu,SETIU,33198,25255,99.39,0.43,0.06,0.12,56.79434586
35,P035,Terengganu,KUALA NERUS,33251,33861,98.82,0.82,0.12,0.24,49.54553604
36,P036,Terengganu,KUALA TERENGGANU,35043,45828,88.14,10.94,0.65,0.27,43.33197403
37,P037,Terengganu,MARANG,37860,42984,97.55,2.18,0.14,0.13,46.83093262
38,P038,Terengganu,HULU TERENGGANU,31940,23727,99.06,0.62,0.09,0.23,57.37690353
39,P039,Terengganu,DUNGUN,31406,35348,95.44,4.05,0.33,0.18,47.0473671
40,P040,Terengganu,KEMAMAN,45525,33219,91.91,6.77,0.89,0.43,57.81393051
41,P041,Penang,KEPALA BATAS,25128,20952,74.65,20.52,4.62,0.21,54.53125
42,P042,Penang,TASEK GELUGOR,24393,21351,77.18,14.79,7.57,0.46,53.32502747
43,P043,Penang,BAGAN,12307,46466,14.36,70.34,15.03,0.27,20.939888
44,P044,Penang,PERMATANG PAUH,25369,37090,68.5,24.79,6.3,0.41,40.61704636
45,P045,Penang,BUKIT MERTAJAM,12814,55877,18.07,72.45,9.23,0.25,18.65455437
46,P046,Penang,BATU KAWAN,10674,36636,20.4,55.57,23.66,0.37,22.56182671
47,P047,Penang,NIBONG TEBAL,21405,30003,45.2,37.54,17.08,0.18,41.63748932
48,P048,Penang,BUKIT BENDERA,12813,45591,13.87,73.79,11.26,1.08,21.93856621
49,P049,Penang,TANJONG,6865,35510,5.78,85.26,8.61,0.35,16.20059013
50,P050,Penang,JELUTONG,17461,43211,20.22,67.96,11.48,0.34,28.77933884
51,P051,Penang,BUKIT GELUGOR,14061,55839,15.16,74.25,10.15,0.44,20.11587906
52,P052,Penang,BAYAN BARU,24251,43558,39.14,48.46,11.75,0.65,35.76369095
53,P053,Penang,BALIK PULAU,22318,20779,60.04,35,4,0.29,51.7855072
54,P054,Perak,GERIK,16415,10199,73.49,17.87,7.46,1.18,61.67806244
55,P055,Perak,LENGGONG,13285,9832,81.63,16.49,1.84,0.04,57.46852875
56,P056,Perak,LARUT,22184,16888,87.49,5.86,6.62,0.03,56.77723312
57,P057,Perak,PARIT BUNTAR,17539,26015,66.76,28.06,5.14,0.04,40.26955032
58,P058,Perak,BAGAN SERAI,23014,21874,73.55,15.55,10.87,0.03,51.2698288
59,P059,Perak,BUKIT GANTANG,29577,30563,63.48,26.77,9.71,0.04,49.18024445
60,P060,Perak,TAIPING,25530,37275,35.45,49.93,13.86,0.76,40.6496315
61,P061,Perak,PADANG RENGAS,13005,10775,74.25,18.3,7.44,0.01,54.68881226
62,P062,Perak,SUNGAI SIPUT,18800,21593,37.41,39.57,22.96,0.06,46.54271698
63,P063,Perak,TAMBUN,42093,32768,63.76,23.65,12.39,0.19,56.22821045
64,P064,Perak,IPOH TIMUR,15086,49086,13.09,81.07,5.27,0.57,23.5086956
65,P065,Perak,IPOH BARAT,16382,45420,13.21,63.6,22.89,0.3,26.50723267
66,P066,Perak,BATU GAJAH,15304,53900,10.2,76.97,12.74,0.09,22.11432838
67,P067,Perak,KUALA KANGSAR,14218,13136,66.64,25.68,7.63,0.05,51.97777176
68,P068,Perak,BERUAS,16882,21939,31.43,54.14,14.37,0.06,43.48677444
69,P069,Perak,PARIT,16253,11756,92.95,3.22,3.79,0.04,58.02777863
70,P070,Perak,KAMPAR,21463,26863,26.87,62.58,10.47,0.08,44.41294479
71,P071,Perak,GOPENG,32249,47558,42.83,47.34,9.7,0.13,40.40873718
72,P072,Perak,TAPAH,20670,12743,47.27,31.7,20.66,0.37,61.86214828
73,P073,Perak,PASIR SALAK,24875,17489,78.95,14.99,5.98,0.08,58.71730804
74,P074,Perak,LUMUT,32140,40308,48.77,38.49,12.03,0.71,44.362854
75,P075,Perak,BAGAN DATOK,17176,15068,56.97,19.31,23.68,0.04,53.26882553
76,P076,Perak,TELOK INTAN,20086,27399,36.16,43.82,19.96,0.06,42.29967499
77,P077,Perak,TANJUNG MALIM,28225,23897,51.23,30.43,18.22,0.12,54.15179825
78,P078,Pahang,CAMERON HIGHLANDS,10506,10044,43.12,33.67,13.72,9.49,51.12408829
79,P079,Pahang,LIPIS,14863,11394,74.29,19.01,6.32,0.38,56.60585785
80,P080,Pahang,RAUB,20601,23415,49.12,43.51,6.48,0.9,46.80343628
81,P081,Pahang,JERANTUT,26544,22012,81.31,14.92,2.94,0.84,54.66677475
82,P082,Pahang,INDERA MAHKOTA,23061,30584,65.37,28.51,5.79,0.34,42.98816299
83,P083,Pahang,KUANTAN,21319,25834,59.97,35.93,3.88,0.22,45.21239471
84,P084,Pahang,PAYA BESAR,23747,16032,80.32,17.21,2.133,0.34,59.69732666
85,P085,Pahang,PEKAN,51278,15665,92.96,2.88,0.91,3.25,76.59949493
86,P086,Pahang,MARAN,19249,12774,90.36,7.77,1.61,0.26,60.1099205
87,P087,Pahang,KUALA KRAU,21575,15370,90.92,3.88,3.2,2,58.39761734
88,P088,Pahang,TEMERLOH,27197,28267,63.43,26.46,8.67,1.44,49.03541183
89,P089,Pahang,BENTONG,25947,25568,43.06,47.28,9.02,0.64,50.36785507
90,P090,Pahang,BERA,21669,19526,60.67,33.88,4.28,1.17,52.6010437
91,P091,Pahang,ROMPIN,30040,14926,93.45,2.7,1.33,2.51,66.80603027
92,P092,Selangor,SABAK BERNAM,16387,14743,81.25,13.61,5.12,0.02,52.64054108
93,P093,Selangor,SUNGAI BESAR,18695,18296,67.9,30.3,1.78,0.03,50.5393219
94,P094,Selangor,HULU SELANGOR,37403,33989,53.94,26.67,18.98,0.41,52.39102554
95,P095,Selangor,TANJONG KARANG,20548,16154,72.13,11.3,2.5,0.08,55.98604965
96,P096,Selangor,KUALA SELANGOR,27500,27040,60.96,15.64,23.3,0.1,50.42170715
97,P097,Selangor,SELAYANG,34441,52287,44.79,38.24,16.23,0.73,39.71151352
98,P098,Selangor,GOMBAK,50093,54827,75.96,13.45,9.88,0.71,47.74399567
99,P099,Selangor,AMPANG,28691,41969,56.22,34.17,8.91,0.7,40.60430145
100,P100,Selangor,PANDAN,21454,48183,49.34,45.04,5.15,0.47,30.80833435
101,P101,Selangor,HULU LANGAT,46860,64127,52.68,36.15,10.55,0.83,42.22116089
102,P102,Selangor,SERDANG,37032,79238,36.63,52.09,10.9,0.38,31.8500042
