subzone,female,male
Admiralty,7280,7120
Alexandra Hill,7930,7720
Alexandra North,550,450
Aljunied,20930,20780
Anak Bukit,11460,10530
Anchorvale,19360,18680
Ang Mo Kio Town Centre,2640,2370
Balestier,16640,15700
Bangkit,11900,11900
Bayshore,3900,3580
Bedok North,43940,41990
Bedok Reservoir,12980,12420
Bedok South,26180,25010
Bencoolen,760,700
Bendemeer,17280,16550
Bishan East,15060,13760
Boat Quay,80,100
Boon Keng,5630,5340
Boon Lay Place,15160,15950
Boon Teck,7770,7340
Boulevard,210,200
Braddell,5610,5160
Bugis,1220,1110
Bukit Batok Central,13280,12780
Bukit Batok East,7290,7280
Bukit Batok South,7080,6860
Bukit Batok West,7730,7460
Bukit Ho Swee,8310,7980
Bukit Merah,610,570
Cairnhill,1770,1560
Cecil,70,90
Central Subzone,250,230
Changi Point,370,420
Changi West,860,880
Chatsworth,3100,2640
Cheng San,15370,14400
China Square,830,760
Chinatown,6150,5720
Choa Chu Kang Central,10800,10600
Choa Chu Kang North,17380,17000
Chong Boon,14310,13590
Clarke Quay,50,80
Clementi Central,7020,6470
Clementi North,15260,13470
Clementi West,8400,8070
Clementi Woods,8510,7890
Commonwealth,4300,3830
Compassvale,9470,9040
Coronation Road,3330,2840
Crawford,4360,5380
Dairy Farm,2770,2620
Depot Road,2720,2480
Dhoby Ghaut,110,100
Dover,6850,6350
Dunearn,2110,1790
Everton Park,4750,4270
Faber,2220,2100
Fajar,13380,13390
Farrer Court,2490,2190
Farrer Park,1500,1630
Fernvale,18030,17560
Flora Drive,6610,6350
Fort Canning,80,80
Frankel,17650,15920
Gali Batu,80,50
Geylang Bahru,6430,6440
Geylang East,17070,16310
Ghim Moh,6320,5590
Gombak,4980,4840
Goodwood Park,490,420
Guilin,6740,6390
Henderson Hill,6500,6370
Hillcrest,4870,3950
Hillview,9430,8790
Holland Drive,7710,6510
Holland Road,5730,4550
Hong Kah,28490,28380
Hong Kah North,14080,14260
Hougang Central,2400,2430
Hougang East,11170,10770
Hougang West,25340,24780
Institution Hill,1780,1600
Jelebu,16810,16660
