DISTNO,STATE,DISTNAME,VOTESBN,VOTESPH,VOTERS,TURNOUT,AREA,BUMI,CHINESE,INDIAN,OTHER
P001,Perlis,PADANG BESAR,15032,13594,46096,37432,450,0.876,0.085,0.009,0.031
P002,Perlis,KANGAR,15306,20909,55938,45703,141,0.819,0.152,0.017,0.012
P003,Perlis,ARAU,16547,11691,48187,40433,222,0.878,0.077,0.017,0.029
P004,Kedah,LANGKAWI,10061,18954,42697,35250,469,0.907,0.065,0.024,0.004
P005,Kedah,JERLUN,12413,18695,54132,44822,316,0.913,0.069,0.001,0.017
P006,Kedah,KUBANG PASU,16975,29984,73881,61452,634,0.869,0.085,0.035,0.012
P007,Kedah,PADANG TERAP,16384,7254,46644,39932,1357,0.922,0.013,0.002,0.064
P008,Kedah,POKOK SENA,18390,28959,86892,71910,322,0.816,0.155,0.025,0.005
P009,Kedah,ALOR SETAR,14181,32475,80272,65096,111,0.637,0.317,0.042,0.004
P010,Kedah,KUALA KEDAH,19400,36624,97753,80555,233,0.783,0.203,0.011,0.003
P011,Kedah,PENDANG,20728,14901,74867,63371,629,0.888,0.051,0.005,0.056
P012,Kedah,JERAI,21773,21651,79976,66920,458,0.803,0.136,0.059,0.003
P013,Kedah,SIK,14870,6970,50385,42772,1645,0.931,0.015,0.002,0.053
P014,Kedah,MERBOK,20830,30902,87782,72708,451,0.691,0.151,0.153,0.005
P015,Kedah,SUNGAI PETANI,23963,45532,112577,93847,261,0.608,0.268,0.120,0.004
P016,Kedah,BALING,38557,14472,107213,92128,1540,0.891,0.044,0.051,0.014
P017,Kedah,PADANG SERAI,15449,31724,84834,71157,343,0.591,0.198,0.207,0.003
P018,Kedah,KULIM BANDAR BAHARU,18299,23159,66587,55390,690,0.693,0.177,0.129,0.002
P019,Kelantan,TUMPAT,29541,10003,110924,88733,180,0.930,0.031,0.002,0.037
P020,Kelantan,PENGKALAN CHEPA,19360,7435,75384,60862,85,0.981,0.015,0.001,0.003
P021,Kelantan,KOTA BAHRU,16256,22422,88708,68306,33,0.846,0.142,0.008,0.005
P022,Kelantan,PASIR MAS,15005,5093,71222,55319,176,0.977,0.020,0.001,0.003
P023,Kelantan,RANTAU PANJANG,18431,5361,66115,49639,392,0.971,0.021,0.001,0.008
P024,Kelantan,KUBANG KERIAN,16251,11557,82018,64867,141,0.981,0.017,0.001,0.001
P025,Kelantan,BACHOK,32896,4880,92606,75945,279,0.985,0.011,0.000,0.004
P026,Kelantan,KETEREH,25467,6799,65238,54404,141,0.976,0.019,0.001,0.005
P027,Kelantan,TANAH MERAH,28152,4747,73172,59598,687,0.948,0.039,0.006,0.007
P028,Kelantan,PASIR PUTIH,30947,4896,85411,69745,423,0.982,0.010,0.001,0.008
P029,Kelantan,MACHANG,26076,5695,68387,56320,528,0.965,0.031,0.002,0.001
P030,Kelantan,JELI,21665,2078,47470,39627,1500,0.994,0.002,0.001,0.003
P031,Kelantan,KUALA KRAI,20911,5173,70348,56278,2288,0.946,0.040,0.012,0.002
P032,Kelantan,GUA MUSANG,19426,4997,52524,41206,8174,0.936,0.056,0.005,0.003
P033,Terengganu,BESUT,34335,6864,86627,72323,1027,0.982,0.014,0.001,0.003
P034,Terengganu,SETIU,32218,4740,86247,,1672,0.995,0.003,0.000,0.001
P035,Terengganu,KUALA NERUS,29527,4604,83663,73211,331,0.988,0.010,0.001,0.002
P036,Terengganu,KUALA TERENGGANU,28215,15380,103611,87786,57,0.901,0.092,0.005,0.002
