height,youtube,nationality,gender
175.0106678,1,SG,F
146.8246309,984813,SG,F
159.996386,7822601,SG,F
150.0489006,2,SG,F
167.4714849,524,SG,F
163.37026,0,SG,F
171.1865395,0,SG,F
154.4864298,0,SG,F
155.1090051,2,SG,F
160.5724508,3136,SG,F
168.0997126,481287,SG,F
153.6553967,379,SG,F
160.5352245,1264350,SG,F
163.0357293,1071,SG,F
165.4020951,990119,SG,F
153.9057972,1,SG,F
160.5466651,69806,SG,F
164.4358393,0,SG,F
157.8229545,0,SG,F
164.0997249,1411505,SG,F
163.6418042,0,SG,F
166.9810938,0,SG,F
166.5490462,63689,SG,F
165.7278951,0,SG,F
171.5245175,710,SG,F
166.7786758,49723,SG,F
169.8295792,2441131,SG,F
168.3802796,10264,SG,F
157.1479314,28762335,SG,F
170.822784,1084221,SG,F
157.5365315,18976,SG,F
163.0291595,8090,SG,F
157.793014,9535,SG,F
164.9954083,4004,SG,F
170.5358393,0,SG,F
159.0131647,992,SG,F
158.8116498,504,SG,F
158.0287491,217716,SG,F
161.376675,0,SG,F
158.0098131,0,SG,F
165.5311789,0,SG,F
160.8590945,418149,SG,F
166.8429515,19296,SG,F
165.1100868,21,SG,F
155.8991127,441012,SG,F
155.5082177,54,SG,F
154.8685722,31293,SG,F
161.0983093,3398322,SG,F
165.5098989,16117,SG,F
160.1390577,13,SG,F
164.809953,15158,SG,F
166.8144409,0,SG,F
166.8596741,2490819,SG,F
166.2025233,79863,SG,F
161.258289,6366069,SG,F
169.1511194,3109,SG,F
160.2793029,3,SG,F
163.5676169,31,SG,F
163.0467908,4735996,SG,F
159.9672849,10488912,SG,F
170.4382602,16402,SG,F
159.8366581,9535,SG,F
160.710759,190,SG,F
161.0257044,31,SG,F
155.0800369,13,SG,F
170.0855134,0,SG,F
157.2271221,9813,SG,F
161.9195829,0,SG,F
161.3079201,133,SG,F
162.6621289,4083765,SG,F
162.9650801,323,SG,F
163.4353659,0,SG,F
157.7543963,5,SG,F
170.2287806,0,SG,F
159.0598826,176919,SG,F
165.7488227,93067,SG,F
165.0451311,0,SG,F
159.2559008,0,SG,F
169.7495396,1,SG,F
152.9470637,98276,SG,F
160.2603149,1550746,SG,F
159.8083921,33,SG,F
166.7801886,969908,SG,F
160.9517855,31580,SG,F
161.2790566,0,SG,F
171.9803473,1071,SG,F
170.5836912,566939,SG,F
159.018503,0,SG,F
161.1121421,2424,SG,F
155.8899478,843110,SG,F
159.6185236,40694,SG,F
163.7190082,16146262,SG,F
164.4504686,183,SG,F
158.4030345,4,SG,F
156.1241884,17507546,SG,F
146.0512918,0,SG,F
163.4960024,0,SG,F
162.321588,0,SG,F
163.6290177,655,SG,F
155.1542638,77,SG,F
166.575253,28,SG,F
159.7816857,1505638,SG,F
161.338537,1,SG,F
157.8173799,252543,SG,F
166.0651837,433998,SG,F
163.9325679,74275,SG,F
168.6854633,14426,SG,F
162.0912959,19992540,SG,F
161.6341029,6214385,SG,F
156.2926705,1612564,SG,F
162.2944563,0,SG,F
161.0629408,6699715,SG,F
162.3471803,75265,SG,F
171.2317527,768261,SG,F
159.8385216,0,SG,F
164.2695628,67367,SG,F
161.4891917,14974,SG,F
153.1397627,0,SG,F
154.0300391,1077,SG,F
163.2674085,292,SG,F
168.1557342,2,SG,F
168.5895144,0,SG,F
156.73883,1,SG,F
165.864472,552363,SG,F
169.670428,0,SG,F
159.10755,0,SG,F
164.6151456,0,SG,F
163.7269245,244,SG,F
155.9865739,0,SG,F
161.5321686,24,SG,F
166.1545651,6897,SG,F
149.6487652,1431254,SG,F
160.3267921,949,SG,F
160.9575085,2585185,SG,F
165.3664098,0,SG,F
155.6912539,0,SG,F
168.7915522,68,SG,F
161.8609158,0,SG,F
149.1313609,0,SG,F
167.9667356,12425,SG,F
153.6353968,7563,SG,F
170.3792882,87120,SG,F
156.6902978,53886,SG,F
163.7320197,0,SG,F
165.134293,4947873,SG,F
164.409485,11771374,SG,F
163.5078985,38,SG,F
160.1240095,1049247,SG,F
168.9495038,1559439,SG,F
162.5397663,0,SG,F
158.2920152,0,SG,F
159.4366131,7421,SG,F
157.9962783,1254,SG,F
165.1384901,393721,SG,F
164.2306346,880,SG,F
160.5832999,1,SG,F
158.861371,62913,SG,F
170.0394576,0,SG,F
162.6539454,890719,SG,F
162.7411648,0,SG,F
161.0998361,0,SG,F
162.9719885,3344,SG,F
166.055199,155446,SG,F
157.6925545,1,SG,F
172.5338126,3346100,SG,F
157.4209038,1941,SG,F
158.4306631,26,SG,F
163.3034962,10,SG,F
164.6995505,551,SG,F
159.8485137,15361,SG,F
164.0187502,6978500,SG,F
158.9931395,243,SG,F
164.2845188,1919,SG,F
170.5332744,0,SG,F
162.9817191,5006,SG,F
159.4902104,966932,SG,F
166.639605,4297606,SG,F
160.549,5,SG,F
159.7555047,6049500,SG,F
167.9489142,458,SG,F
170.9702278,39361,SG,F
164.3704432,0,SG,F
152.8391134,29,SG,F
160.8187919,1466,SG,F
161.6084891,0,SG,F
159.7884006,392747,SG,F
163.9677814,0,SG,F
165.4556954,5,SG,F
169.7325439,0,SG,F
169.5854837,0,SG,F
155.2994023,0,SG,F
156.2043165,5901742,SG,F
164.1299517,138736,SG,F
166.9001748,233195,SG,F
164.7550021,0,SG,F
160.20793,120381,SG,F
161.2914979,129080,SG,F
156.0846604,0,SG,F
163.1090946,2027,SG,F
165.991406,11054,SG,F
157.4280299,17,SG,F
148.8719989,21,SG,F
165.8748573,0,SG,F
162.2186713,0,SG,F
165.0106427,509769,SG,F
157.7042367,6,SG,F
171.4290236,0,SG,F
158.9273657,209466,SG,F
159.387011,1,SG,F
159.5133662,3406013,SG,F
160.2276779,1183445,SG,F
173.2367901,102670,SG,F
158.0863346,4669,SG,F
167.6559312,4392913,SG,F
165.2623903,0,SG,F
168.2277831,7249,SG,F
148.5817723,3552238,SG,F
167.6115351,6331,SG,F
170.2988833,2,SG,F
159.7075835,1221532,SG,F
169.168212,120669,SG,F
159.4859589,1913131,SG,F
164.5732465,13,SG,F
168.6412452,200231,SG,F
161.0205239,349708,SG,F
164.5490502,0,SG,F
160.4291798,73183,SG,F
168.6180586,82058,SG,F
162.0429151,2449507,SG,F
170.7027325,343986,SG,F
150.9835511,3,SG,F
170.8054142,15980,SG,F
169.4241905,26680,SG,F
162.3615878,0,SG,F
164.4462827,22655,SG,F
163.3106658,26179,SG,F
159.7895224,3470110,SG,F
158.0136665,249,SG,F
163.0960106,33854,SG,F
157.6214782,166,SG,F
162.7047759,4998553,SG,F
155.9411667,233,SG,F
163.9424909,248,SG,F
161.8502549,86,SG,F
162.5856158,3713067,SG,F
160.4002612,3423,SG,F
171.315624,39211,SG,F
158.2399104,6,SG,F
151.7076469,7307,SG,F
159.6341658,72642,SG,F
157.546591,4498644,SG,F
159.5302604,30903,SG,F
162.4407866,7,SG,F
165.1044619,240,SG,F
165.950729,110,SG,F
159.2349326,58,SG,F
163.6806044,0,SG,F
152.555519,39100,SG,F
165.2113169,10196506,SG,F
156.30982,692,SG,F
165.3785408,124537,SG,F
168.1158371,270,SG,F
165.625514,1862,SG,F
159.6481129,0,SG,F
160.3323107,3858,SG,F
166.7106159,319,SG,F
167.7303988,0,SG,F
155.3388241,0,SG,F
163.4609428,71147,SG,F
155.9333176,1309001,SG,F
149.6245586,314,SG,F
166.4550829,331,SG,F
162.7976644,1109539,SG,F
165.716584,124,SG,F
169.4090014,289,SG,F
159.7115964,1356,SG,F
154.561254,34780,SG,F
165.5926275,0,SG,F
159.5514105,6521,SG,F
161.785886,49126,SG,F
157.2465439,0,SG,F
160.838402,7555931,SG,F
162.1983981,422,SG,F
164.1340072,27844,SG,F
159.7648189,18197,SG,F
154.8786172,3324244,SG,F
165.3471496,16,SG,F
148.2298066,101499,SG,F
159.7471017,0,SG,F
172.4330377,196,SG,F
